,date,daily_return
0,2020-12-01,0.0
1,2020-12-02,0.017789162780921557
2,2020-12-03,0.015106009159665493
3,2020-12-04,-0.08058102624215463
4,2020-12-05,0.04414206769438864
5,2020-12-06,0.005929814100754934
6,2020-12-07,-0.016651084334728325
7,2020-12-08,-0.07127807165931711
8,2020-12-09,0.04183085054924314
9,2020-12-10,-0.03241022661252399
10,2020-12-11,-0.027367990418678902
11,2020-12-12,0.04395220686653856
12,2020-12-13,0.05382280670227814
13,2020-12-14,0.005435024199991247
14,2020-12-15,-0.009207783437604814
15,2020-12-16,0.09734158682424773
16,2020-12-17,0.017673516649533427
17,2020-12-18,0.0243972929669732
18,2020-12-19,0.03290189779424053
19,2020-12-20,-0.01908189832102554
20,2020-12-21,-0.05506584766526681
21,2020-12-22,0.033715926055061324
22,2020-12-23,-0.10422115067066448
23,2020-12-24,0.09874444181699357
24,2020-12-25,0.034756343837164555
25,2020-12-26,0.013532295131828131
26,2020-12-27,0.0029583376207956294
27,2020-12-28,0.055121161694891105
28,2020-12-29,0.023254950331657864
29,2020-12-30,-0.004692287530303519
30,2020-12-31,-0.01847232471104814
31,2021-01-01,0.004565426924528314
32,2021-01-02,0.03752802834810552
33,2021-01-03,0.12471100622116064
34,2021-01-04,0.05163193083452153
35,2021-01-05,0.0822660419741367
36,2021-01-06,0.2151249614075753
37,2021-01-07,-0.008498748712750536
38,2021-01-08,0.0016745448426348534
39,2021-01-09,0.03555139919375009
40,2021-01-10,-0.04836327171227675
41,2021-01-11,-0.10750585737394053
42,2021-01-12,-0.01109153147865028
43,2021-01-13,0.086678519060348
44,2021-01-14,0.03096474860968344
45,2021-01-15,-0.042470183493292485
46,2021-01-16,0.04669298974596741
47,2021-01-17,0.024869708298661586
48,2021-01-18,0.01407260662347573
49,2021-01-19,0.0020401424997533515
50,2021-01-20,-0.0063698839039179125
51,2021-01-21,-0.14363881625040337
52,2021-01-22,0.08048578177084886
53,2021-01-23,-0.00743794474111765
54,2021-01-24,0.03677727219313452
55,2021-01-25,-0.023853523650389733
56,2021-01-26,0.0019651318946431484
57,2021-01-27,-0.07050450621860531
58,2021-01-28,0.10234003807265651
59,2021-01-29,0.01602886394341666
60,2021-01-30,0.028445514171205284
61,2021-01-31,-0.03762124932227949
62,2021-02-01,0.07590669857637379
63,2021-02-02,0.05684737445280895
64,2021-02-03,0.05310154858283424
65,2021-02-04,-0.01689732219286151
66,2021-02-05,0.11402999779201088
67,2021-02-06,0.05446123758523673
68,2021-02-07,-0.009684460753619412
69,2021-02-08,0.10017660252300406
70,2021-02-09,0.08211115959290952
71,2021-02-10,0.08624343780110977
72,2021-02-11,0.02609704408243868
73,2021-02-12,0.05962727190040861
74,2021-02-13,0.02274669619175463
75,2021-02-14,-0.023239653881333353
76,2021-02-15,-0.023816648807111075
77,2021-02-16,0.006921798256845079
78,2021-02-17,0.08895015970987238
79,2021-02-18,0.035564259302707714
80,2021-02-19,0.14684858584733718
81,2021-02-20,-0.02082844229917797
82,2021-02-21,0.03045914326750984
83,2021-02-22,-0.06272122206634845
84,2021-02-23,-0.13467771693298297
85,2021-02-24,0.05588463418945625
86,2021-02-25,-0.04618410323337478
87,2021-02-26,0.010850614375794132
88,2021-02-27,0.033608659791625306
89,2021-02-28,-0.04259563145684693
90,2021-03-01,0.08804209811461802
91,2021-03-02,-0.03203197218487265
92,2021-03-03,0.02761839582812957
93,2021-03-04,-0.041836402979124755
94,2021-03-05,0.002626331487368829
95,2021-03-06,0.00887598762391121
96,2021-03-07,0.03602686664351014
97,2021-03-08,0.014942018316532607
98,2021-03-09,0.07576691430355899
99,2021-03-10,-0.029855331675786138
100,2021-03-11,0.011232294069122867
101,2021-03-12,-0.025174016016756333
102,2021-03-13,0.05697676790640028
103,2021-03-14,-0.04006576301063983
104,2021-03-15,-0.038955841350691356
105,2021-03-16,0.04432588424278097
106,2021-03-17,0.04131910902725895
107,2021-03-18,-0.03587943335195992
108,2021-03-19,0.015379100258200228
109,2021-03-20,-0.004546148911533239
110,2021-03-21,-0.015435453715148567
111,2021-03-22,-0.04580641075668295
112,2021-03-23,0.0026971318242298052
113,2021-03-24,-0.046919064233354055
114,2021-03-25,-0.014595546855540893
115,2021-03-26,0.07428022496536792
116,2021-03-27,0.007188788830535402
117,2021-03-28,0.006109538638332792
118,2021-03-29,0.03540190767143852
119,2021-03-30,0.030289547236550064
120,2021-03-31,0.0014933039071841838
121,2021-04-01,0.03764701708436355
122,2021-04-02,0.030536683834037646
123,2021-04-03,-0.048155712643257624
124,2021-04-04,0.039605238531452244
125,2021-04-05,0.06422320340600374
126,2021-04-06,0.03467727332475296
127,2021-04-07,-0.07439403342805709
128,2021-04-08,0.05981797935325664
129,2021-04-09,-0.00019620476597773367
130,2021-04-10,0.06994915827716454
131,2021-04-11,0.03470359972742506
132,2021-04-12,0.021946784616395446
133,2021-04-13,0.054546892949188346
134,2021-04-14,0.01717309444575145
135,2021-04-15,0.012365910310608092
136,2021-04-16,-0.020838535016300595
137,2021-04-17,-0.01576025925326459
138,2021-04-18,-0.07817593006381304
139,2021-04-19,-0.02864426768189672
140,2021-04-20,0.059548890967637914
141,2021-04-21,-0.037238092371432524
142,2021-04-22,-0.042177945546096024
143,2021-04-23,-0.004419695007474388
144,2021-04-24,-0.05216301026771108
145,2021-04-25,0.0007454015438001374
146,2021-04-26,0.1102390162457102
147,2021-04-27,0.048381651530557006
148,2021-04-28,0.0018435761069086499
149,2021-04-29,0.0005606884997467294
150,2021-04-30,0.04943200599426315
